,date_mutation,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
7851,30/08/2021,1550000,Appartement,139,5,2.345785,48.877349
10024,27/10/2021,782626,Appartement,70,4,2.347587,48.880895
11678,19/11/2021,266981,Appartement,21,2,2.335876,48.879377
9022,13/10/2021,140000,Appartement,16,1,2.339003,48.87793
24861,17/03/2021,480000,Appartement,48,3,2.339952,48.878483
5552,19/07/2021,900000,Appartement,66,3,2.335604,48.876526
11949,10/12/2021,331750,Appartement,27,1,2.334603,48.874036
5721,27/07/2021,250000,Appartement,23,1,2.344538,48.873367
2970,27/05/2021,1200000,Appartement,104,4,2.347258,48.879816
10654,26/10/2021,433800,Appartement,23,1,2.34492,48.875015
10539,02/11/2021,260000,Appartement,26,2,2.329668,48.876665
2437,07/05/2021,740000,Appartement,52,3,2.328298,48.882155
9165,08/10/2021,250000,Appartement,22,1,2.34484,48.876753
24833,19/03/2021,1479307,Appartement,103,5,2.339981,48.878633
24850,18/03/2021,1201830,Appartement,71,3,2.344672,48.880285
2701,25/05/2021,690000,Appartement,60,3,2.333754,48.879083
4428,22/06/2021,510000,Appartement,46,2,2.339236,48.878866
11409,29/11/2021,1073550,Appartement,83,4,2.347661,48.87389
4626,02/07/2021,595000,Appartement,54,2,2.343917,48.8745
2506,17/05/2021,370000,Appartement,32,1,2.347464,48.872736
11476,23/11/2021,693213,Appartement,63,4,2.345925,48.880277
7151,04/08/2021,1560000,Appartement,130,5,2.341909,48.880567
361,15/03/2021,485800,Appartement,42,1,2.339003,48.87793
1474,15/04/2021,975000,Appartement,74,4,2.341971,48.878001
6520,21/07/2021,1320000,Appartement,93,4,2.347258,48.879816
4412,28/06/2021,445000,Appartement,35,2,2.332865,48.882678
863,07/04/2021,153000,Appartement,15,1,2.338485,48.878772
5971,16/07/2021,628000,Appartement,56,3,2.346417,48.879845
6795,18/08/2021,280000,Appartement,24,2,2.338143,48.877149
7649,09/09/2021,952390,Appartement,77,4,2.341584,48.882095
24462,05/01/2021,295900,Appartement,20,1,2.329235,48.879138
10253,21/10/2021,140000,Appartement,16,1,2.333017,48.874615
7023,05/08/2021,1240000,Appartement,96,5,2.345193,48.882242
6622,30/07/2021,496000,Appartement,42,2,2.327429,48.881131
6317,30/07/2021,597360,Appartement,48,2,2.335734,48.881139
9654,27/09/2021,938176,Appartement,80,4,2.345648,48.873802
11500,19/11/2021,254000,Appartement,22,1,2.343711,48.876877
1627,30/04/2021,1720000,Appartement,150,5,2.328792,48.88134
24843,05/03/2021,1384350,Appartement,107,6,2.347513,48.874201
5916,19/07/2021,1399210,Appartement,101,4,2.333036,48.878664
5175,15/07/2021,144230,Appartement,14,1,2.339118,48.880742
10492,20/10/2021,2050000,Appartement,183,7,2.334514,48.880788
5860,21/07/2021,830000,Appartement,88,4,2.327524,48.881831
2337,03/05/2021,539850,Appartement,65,3,2.346026,48.882066
6603,28/07/2021,250000,Appartement,24,1,2.333175,48.881093
6169,29/07/2021,366000,Appartement,31,3,2.347184,48.881023
4540,05/07/2021,673300,Appartement,60,4,2.331983,48.883332
8882,07/10/2021,415000,Appartement,38,2,2.336109,48.876528
3467,17/06/2021,890000,Appartement,72,3,2.336368,48.879706
24652,04/02/2021,549000,Appartement,67,2,2.327252,48.876664
3766,04/06/2021,640000,Appartement,70,4,2.327792,48.881467
8867,02/09/2021,170000,Appartement,15,1,2.332609,48.883144
4774,18/06/2021,442000,Appartement,44,2,2.348034,48.882166
4550,16/06/2021,200000,Appartement,12,1,2.341719,48.879055
11788,10/12/2021,215000,Appartement,22,1,2.332544,48.880326
7206,20/08/2021,815000,Appartement,74,2,2.332295,48.882477
3997,25/06/2021,1660000,Appartement,135,4,2.334025,48.880482
7011,06/08/2021,1007300,Appartement,72,3,2.343614,48.875157
10898,05/11/2021,1050000,Appartement,86,3,2.347725,48.877155
355,31/03/2021,230000,Appartement,15,2,2.332295,48.882477
7364,02/09/2021,923600,Appartement,76,5,2.34629,48.874447
4211,21/06/2021,1387900,Appartement,99,5,2.34172,48.881739
8371,20/09/2021,535800,Appartement,53,2,2.329441,48.880143
11171,24/11/2021,665000,Appartement,54,3,2.346963,48.880974
12639,29/12/2021,135000,Appartement,12,1,2.346538,48.875086
5141,19/07/2021,88000,Appartement,8,1,2.344502,48.877879
4153,11/06/2021,856500,Appartement,68,4,2.349576,48.88101
11310,17/11/2021,420900,Appartement,28,2,2.340555,48.878147
24763,16/02/2021,1320000,Appartement,95,3,2.331999,48.880301
5756,22/07/2021,870000,Appartement,72,3,2.33506,48.879032
11014,15/11/2021,330000,Appartement,32,1,2.346336,48.878186
7256,05/08/2021,524500,Appartement,53,2,2.335637,48.881859
1783,26/04/2021,936500,Appartement,92,4,2.332245,48.874718
5597,13/07/2021,205000,Appartement,22,1,2.347472,48.877848
12246,30/11/2021,1600000,Appartement,120,5,2.343744,48.880963
3701,14/06/2021,545000,Appartement,50,2,2.344619,48.880984
12465,09/12/2021,1174000,Appartement,79,3,2.339429,48.879965
8059,20/09/2021,498075,Appartement,45,2,2.348194,48.883224
6543,30/07/2021,1300000,Appartement,105,3,2.340348,48.881229
9297,27/09/2021,780000,Appartement,69,3,2.335876,48.879377
24424,19/01/2021,302000,Appartement,26,1,2.344591,48.878605
8102,17/09/2021,2375700,Appartement,184,6,2.331289,48.881848
24525,14/01/2021,720000,Appartement,55,2,2.339459,48.879183
5958,27/07/2021,650000,Appartement,60,4,2.343484,48.87893
6759,04/08/2021,110000,Appartement,11,1,2.341971,48.878001
5649,29/06/2021,640000,Appartement,35,3,2.344813,48.879757
4210,28/06/2021,1423150,Appartement,107,5,2.333196,48.883241
13030,22/12/2021,1322000,Appartement,120,4,2.333807,48.883084
4347,05/07/2021,440200,Appartement,34,2,2.339841,48.877879
24496,19/01/2021,678900,Appartement,50,3,2.346845,48.881676
9223,05/10/2021,1125300,Appartement,92,5,2.329386,48.882315
5506,19/07/2021,71500,Appartement,8,1,2.343105,48.878092
837,07/04/2021,805000,Appartement,69,3,2.347787,48.881947
5554,19/07/2021,1390000,Appartement,128,5,2.332876,48.877123
7149,26/08/2021,893250,Appartement,60,2,2.345679,48.88202
3251,04/06/2021,135000,Appartement,15,1,2.346475,48.882579
