,type_local,surface_reelle_bati,longitude,latitude,trimestre_trimestre_1,trimestre_trimestre_2,trimestre_trimestre_3,trimestre_trimestre_4,année_2018,année_2019,année_2020,année_2021,année_2022,année_antérieur_a_2018,nb_pieces_0,nb_pieces_1,nb_pieces_2,nb_pieces_3,nb_pieces_4,nb_pieces_5,nb_pieces_6,nb_pieces_7,nb_pieces_8,nb_pieces_more_than_9
28,0,0.04545454545454545,0.9763893051766426,0.9895293714693665,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
29,0,0.034090909090909095,0.9898237472196196,0.9735299619496125,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30,0,0.23484848484848483,0.9904706654122292,0.9731642139864647,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
31,0,0.20454545454545456,0.9773957685412178,0.9543117135172778,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
32,0,0.10606060606060605,0.9863860834331857,0.9809544438010604,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
33,0,0.29545454545454547,0.9669218441791536,0.9760326539977164,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,0,0.04545454545454545,0.9790366931563059,0.9779359988151235,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
35,0,0.04924242424242425,0.9839398154559529,0.9783804489398733,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
36,0,0.08333333333333334,0.9736026091168,0.9736846144489917,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
37,0,0.29924242424242425,0.9637839281314198,0.9619568304884467,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38,0,0.4962121212121212,0.970177525608523,0.978633739035736,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
39,0,0.12121212121212122,0.9736011496400857,0.9794206383485218,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
40,0,0.06818181818181818,0.9727507680598988,0.9738833572813306,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
41,0,0.09090909090909091,0.9818309538278507,0.9945119460035876,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
42,0,0.125,0.9905651202784567,0.9882509964201205,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
43,0,0.056818181818181816,0.9738456428237436,0.9642685459625788,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
44,0,0.056818181818181816,0.9854975498983267,0.972904319513404,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
45,0,0.06818181818181818,0.9904098401784607,0.9654517079072278,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
46,0,0.125,0.9865916229777792,0.9785519792920958,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
47,0,0.2840909090909091,0.9817024993209835,0.9621538610748459,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
48,0,0.08712121212121213,0.9849378097443833,0.9796303884761919,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
49,0,0.1590909090909091,0.9887819275177406,0.9576577478425534,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
50,0,0.05303030303030303,0.9714981053628307,0.9876899301165167,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
51,0,0.20075757575757575,0.9902588151725471,0.9730423387665113,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
52,0,0.20454545454545456,0.9872080566074694,0.991579174466299,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
53,0,0.09090909090909091,0.9690952516788451,0.9636703606130546,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
54,0,0.05303030303030303,0.9741380931788723,0.973962854414264,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
55,0,0.28030303030303033,0.9643259901167114,0.9697107973800883,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,0,0.034090909090909095,0.9827037825710236,0.9808901122750235,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
57,0,0.07575757575757575,0.9849218582805763,0.9626855745909033,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
