,valeur_fonciere
1303,636000
1304,391450
1305,567700
1306,485000
1307,860000
1308,1116500
1309,1379000
1310,280000
1311,320000
1312,2535000
1313,799610
1314,700000
1315,450000
1316,627000
1317,377050
1318,1233110
1319,1150000
1320,1740000
1321,2458000
1322,425000
1323,255000
1324,969000
1325,813900
1326,120000
1327,1620000
1328,785000
1329,761300
1330,1340000
1331,234000
1332,693500
1333,184500
1334,119000
1335,538000
1336,421521
1337,424000
1338,640000
1339,348500
1340,579000
1341,2045000
1342,1250000
1343,178000
1344,2000000
1345,268000
1346,420000
1347,510000
1348,808000
1349,450000
1350,485000
1351,415000
1352,220000
1353,1000000
1354,667500
1355,436000
1356,147750
1357,330000
1358,298705
1359,1000000
1360,402500
1361,612000
1362,810000
1363,442308
1364,319100
1365,347883
1366,260000
1367,513000
1368,2080000
1369,252000
1370,140600
1371,180000
1372,860000
1373,280000
1374,260000
1375,480000
1376,230000
1377,200000
1378,131140
1379,123000
1380,904761
1381,542000
1382,320000
1383,320000
1384,685000
1385,475000
1386,295000
1387,302000
1388,340000
1389,1005000
1390,335000
1391,340000
1392,1650000
1393,285000
1394,585000
1395,1050000
1396,130000
1397,567135
1398,2360752
1399,588000
1400,1300000
1401,3290700
1402,772947
1403,189500
1404,278958
1405,315000
1406,375000
1407,695000
1408,555860
1409,791000
1410,1486000
1411,585000
1412,194000
1413,550000
1414,700000
1415,680000
1416,1193200
1417,388000
1418,1045000
1419,430000
1420,450200
1421,607235
1422,1543900
1423,553800
1424,225000
1425,328000
1426,260000
1427,555900
1428,1180000
1429,845322
1430,89000
1431,732000
1432,709500
1433,370000
1434,225600
1435,597700
1436,586300
1437,390600
1438,1850000
1439,342000
1440,395000
1441,550000
1442,420000
1443,408500
1444,745000
1445,436750
1446,425000
1447,1234400
1448,420000
1449,342300
1450,364800
1451,745000
1452,381000
1453,504679
1454,405000
1455,570000
1456,277000
1457,641900
1458,145100
1459,310000
1460,823800
1461,730000
1462,225000
1463,330000
1464,519250
1465,1160000
1466,450000
1467,495400
1468,590100
1469,960175
1470,249000
1471,330000
1472,510000
1473,310000
1474,790000
1475,365000
1476,885000
1477,525000
1478,330000
1479,445000
1480,719500
1481,434965
1482,150000
1483,886000
1484,330000
1485,1106500
1486,1340000
1487,1455000
1488,160000
1489,210000
1490,146000
1491,430080
1492,224440
1493,276380
1494,250000
1495,1168000
1496,227170
1497,300900
1498,572000
1499,290000
1500,680000
1501,396000
1502,653050
1503,775000
1504,315000
1505,395000
1506,500000
1507,477000
1508,332500
1509,327000
1510,346500
1511,520000
1512,2268250
1513,264000
1514,1075180
1515,355000
1516,1020000
1517,304000
1518,603020
1519,435000
1520,325000
1521,889720
1522,2852115
1523,350000
1524,220000
1525,666400
1526,1333333
1527,310000
1528,1100000
1529,285000
1530,1385000
1531,133000
1532,862200
1533,383000
1534,597500
1535,290050
1536,315000
1537,300000
1538,104530
1539,1200000
1540,450500
1541,440000
1542,900000
1543,572500
1544,188500
1545,164000
1546,250000
1547,286400
1548,367200
1549,940000
1550,736300
1551,270000
1552,550000
1553,776000
1554,438000
1555,422000
1556,1500000
1557,528000
1558,637400
1559,114000
1560,931600
1561,2200000
1562,137000
1563,295000
1564,252500
1565,250000
1566,580000
1567,138190
1568,235000
1569,454650
1570,450000
1571,1067093
1572,144200
1573,481416
1574,1500000
1575,290000
1576,633000
1577,590000
1578,375000
1579,747300
1580,216000
1581,476900
1582,523809
1583,182500
1584,808450
1585,895900
1586,638130
1587,177500
1588,52000
1589,770800
1590,316768
1591,1606050
1592,1550000
1593,1358600
1594,170000
1595,200000
1596,453000
1597,530750
1598,1290450
1599,220500
1600,2873300
1601,299000
1602,265080
1603,126450
1604,2042500
1605,342500
1606,990000
1607,630000
1608,242000
1609,1136190
1610,365000
1611,372915
1612,874000
1613,215000
1614,470000
1615,547000
1616,3345000
1617,1500000
1618,406000
1619,393000
1620,158000
1621,410000
1622,673150
1623,423000
1624,247700
1625,353000
1626,2100305
1627,590000
1628,740000
1629,554690
1630,445000
1631,265000
1632,344960
1633,691287
1634,3970000
1635,368500
1636,353500
1637,3366052
1638,1337930
1639,530000
1640,110000
1641,363000
1642,820000
1643,388640
1644,170000
1645,187000
1646,545000
1647,430000
1648,540000
1649,444000
1650,580000
1651,329000
1652,854243
1653,416900
1654,510000
1655,245000
1656,95000
1657,449000
1658,587000
1659,1470000
1660,458500
1661,353800
1662,405000
1663,705000
1664,820750
1665,175000
1666,446760
1667,862000
1668,810000
1669,728500
1670,2218500
1671,250000
1672,325900
1673,307000
1674,1150000
1675,678000
1676,100000
1677,1412061
1678,353770
1679,225000
1680,615020
1681,490000
1682,1190000
1683,631600
1684,347000
1685,225000
1686,342000
1687,1155000
1688,390000
1689,112500
1690,1175000
1691,230000
1692,1851000
1693,1387706
1694,1366942
1695,410000
1696,420000
1697,559610
1698,172000
1699,295000
1700,415000
1701,230000
1702,145000
1703,780000
1704,360000
1705,380050
1706,710000
1707,822500
1708,883950
1709,358000
1710,1550000
1711,1085800
1712,799450
1713,384000
1714,192000
1715,160000
1716,540000
1717,282000
1718,661000
1719,2545000
1720,623090
1721,1665400
1722,905660
1723,210000
1724,312500
1725,291000
1726,930000
1727,1298000
1728,345000
1729,322000
1730,279986
1731,371747
1732,472500
1733,279000
1734,1630000
1735,250250
1736,495000
1737,268600
1738,1096700
1739,200000
1740,492500
1741,415000
1742,2512300
1743,950000
1744,395000
1745,224000
1746,1400550
1747,340000
1748,439100
1749,412000
1750,185000
1751,768900
1752,410000
1753,913000
1754,550280
1755,390000
1756,139000
1757,760000
1758,791951
1759,1220000
1760,419500
1761,533095
1762,315000
1763,672410
1764,745500
1765,450000
1766,850000
1767,630000
1768,293600
1769,720470
1770,2040000
1771,840000
1772,258000
1773,182470
1774,551950
1775,622000
1776,874000
1777,3990000
1778,720000
1779,715200
1780,210000
1781,375150
1782,2260000
1783,407500
1784,372675
1785,995945
1786,220000
1787,630000
1788,205000
1789,412512
1790,1222500
1791,120000
1792,835000
1793,320000
1794,304000
1795,277000
1796,2125000
1797,168500
1798,1200000
1799,270000
1800,975000
1801,2098000
1802,600000
1803,1140000
1804,328250
1805,410000
1806,550000
1807,3590320
1808,1185000
1809,495000
1810,711980
1811,363900
1812,3254700
1813,624000
1814,260000
1815,290000
1816,407733
1817,265000
1818,205000
1819,144000
1820,445000
1821,430000
1822,318212
1823,415000
1824,157500
1825,625000
1826,490500
1827,1530000
1828,215000
1829,349950
1830,405600
1831,530000
1832,107000
1833,260000
1834,319048
1835,914180
1836,615000
1837,140000
1838,950000
1839,1255718
1840,1456320
1841,69000
1842,1600000
1843,310000
1844,450822
1845,1080000
1846,665500
1847,968750
1848,423850
1849,900000
1850,430000
1851,105000
1852,337000
1853,407550
1854,355000
1855,432875
1856,632500
1857,470000
1858,524809
1859,735000
1860,570000
1861,671450
1862,730000
1863,810000
1864,475000
1865,510000
1866,1000000
1867,543550
1868,797237
1869,285000
1870,280000
1871,405109
1872,340000
